,description,note
21,Très mauvaise insonorisation Portes coupe feu bruyante radiateurs mal ajustés couvre plancher à la fin de leur vie utile Réception à temps partiel,4
22,À mon avis qualitéprix dans le ° arrondissement on fait pas mieux,10
23,Tout est bien pour cet hôtel bien situé dans le quartier des écoles du ième de Paris Le seul bémol est la qualité du matelas du lit qui est très déformé et devrait être changé,8
24,HÔTEL ET SON RESPONSABLE ABSOLUMENT LAMENTABLE   Réservation faite et réglée via le site Expédia h avant mon séjour Confirmation de la réservation et du règlement reçus par mail   A l’arrivée aucune trace de ma réservation ni de mon règlement   mn a l’accueil pour dénouer le problème   arrivé à l’étage gaine technique en travaux  matériel type pompe au milieu du couloir encombre le passage mais ne semble pas en fonctionnement Moquette extrêmement sale et vétuste   Retour a l’hôtel vers h après diner pro A partir de hh Le matériel dans le couloir se met régulièrement en route et de façon aléatoire   h Appel au réceptionniste à qui j’explique le problème et me répond s’en occuper   h  idem   h agacé Nouvel appel au réceptionniste qui me répond qu’il cherche d’ou ça vient Très agacé je lui redonne la source du problème déjà donné à h   A h du matin le problème persistant je me lève me rhabille et descend à la réception Le réceptionniste me dit que le bruit vient bien de la pompe qui est installé pour travaux sur la gaine technique et qu’il faudra voir avec le responsable qui sera là demain matin  h J’AI DONC EU DROIT À UNE NUIT BLANCHE À PLUS DE  €   Vif entretien avec le responsable qui hausse le ton pour me faire taire en arguant que le réceptionniste m’a proposé dès mon premier appel une autre chambre CE QUI EST FAUT … Je lui dit que je relaterai tout cela sur les avis …  Il m’envo,2
25,Excellent service Près de tout ,10
26,Emplacement idéal près des Grands Boulevards et des grands magasins ,8
27,The hotel is in a street adjacent to the Avenue de lOpéra Ideally located the staff is quite welcoming and helpful and the rooms are clean and comfortable many restaurants and shops around the Palais Garnie ballet theatre at  the Louvre at  and Madeleine at min walk The exterior of the hotel is being repainted so expect some noise nothing extreme,8
28,Hôtel calme en plein centre de Paris près des grands magasins,10
29,Hôtel superbement bien placé pour aller à lopéra Garnier et au Louvre Un détail le personnel vous accueille en ANGLAIS or nous sommes en France et sommes Français Je conseil le Parking ONEPARK rue des Italiens  € les   Heures à environ  m,10
30,Excellent accueil Chambre propre silencieuse Très bonne literie ,10
31,Parfait,10
32,Site extraordinaire  Mais quelle déception de voir l’accès aux bassins refusés à midi pile le jour du check out Pratique assez rare dans des hôtels de grand standing et dont la raison n’est certainement pas un problème de surpopulation la piscine intérieure était vide toute la journée,8
33,ràs,8
34,Très bel emplacement pour cet hôtel Séjour entre amis très sympa avec le rooftop pour prendre lapéritif le soir et la piscine le matin pour se détendre Le service voiturier est très utile dans le quartier pour nous simplifier la recherche de place de parking Seul petit bémol   la salle de petit déjeuner très petite par rapport au nombre de chambres dans lhôtel et qui est vite saturée  Nous sommes allés prendre le petit déjeuner Porte dAuteuil le ème matin car il y avait une dizaine de personne qui attendait au comptoir pour avoir une table ,8
35,Etablissement exceptionnel de très grand standing Idéal pour se reposer et profiter des piscines et du spa A recommander Chambre de qualité et sans bruit Design soigné ,10
36,Parfait la chambre était magnifique l’hôtel est incroyable ,10
37,Hôtel bien placé pour un départ matinal en eurostar La chambre sous le toit a la taille dune chambre de bonne et est décorée dans un genre vintage un peu kitsch On est assez loin de lélégance de lancien Terminus nord  Au demeurant la salle de bains était bien,8
38,Hôtel confortable personnel souriant Emplacement idéal compte tenu de mes imperatifs,10
39,Hotel très propre très bien décoré Accueil très sympathique La chambre est très cosy et très voir trop bien chauffée la salle de bain est petite mais pratique On entend du bruit mais cest Paris  je dors habituellement avec des boules quies et jai très bien dormi  Le petit déjeuner est très copieux et varié Je reviendrais sans soucis lhôtel est très bien situé ,8
40,Il ny a que des qualités à cet établissement   accueil formidable élégance et confort de la chambre équipement malin petit bureau pliant et propreté de la salle de bain Le quartier est sympa pour des restos et la rue reste calme Je nai pas eu loccasion de tester le pdj  € ç arentrait pas dans mon budget,10
41,Personnel charmant et désireux de rendre votre séjour agréable,10
42,Le personnel de l’hôtel est très agréable et nous avons passé un très agréable séjour ,8
43,Accueil parfait le réceptionniste était super gentil  Hôtel super bien situé et très agréable Je pense réserver ici la prochaine fois que je reviens sur Paris,10
44,petite chambre mais bien conçue confortable et en très bon état bon petitdéjeuner,8
45,Tres bon rapport qualitéprix Hôtel très bien situé propre et confortable Merci au personnel pour leur amabilité et leur disponibilité ,10
46,Bon séjour d’une nuit pas de bruit chambre confortable et bien optimisée Très bien ,10
47,super,10
48,Attention on ressent les vibrations de chaque rame de métro compliqué de dormir dans ces conditions ,4
49,Mon voyage c’est super bien passé le personnel et très agréable souriant  arrangent je recommande vivement la chambre était parfaite propre  très agréable j’ai super bien dormi  ,10
50,merci,10
51,,10
52,Séjour très agréable dans cet hôtel implanté non loin des centres d’intérêt parisien Très bien accueilli simplement mais efficacement nous avons pu découvrir une chambre spacieuse lumineuse avec vue sur la cour intérieure de l’établissement et au loin sur le toit magnifique de la mairie du Xeme arrondissement de Paris  La literie est d’excellente facture et permet un sommeil réparateur Belle recherche esthétique dans la salle de bain très pratique également,10
53,Magnifique hôtel très propre très élégant Un vrai coup d cœur  smiling face with hearteyes ,10
54,Jai commandé  taxi qui nest jamais arrivé et jai failli raté mon avion Des efforts doivent être faits à ce niveau ,4
55,Tres joli hotel sur une rue tranquille avec une cour restaurant pleine de verdure magnifique Terrasse sur le toit Chambre impeccable service aimable Pour moi valait le prix ,10
56,Établissement bien situé Très bon rapport qualité prix ,8
57,Rapport qualité prix excellent Chambre bien aménagée et très joli Resto court intérieur et lobby très agréable Bien situé pour déplacement a pied bus et métro ,10
58,Très bel endroit Ambiance calme près de tout,10
59,Séjour et chambre parfait Rien à redire   Le petit  toujours pratique  la télévision équipée dune Chromecast ,10
60,,10
61,On ma donné une chambre sans signaler que toutes les fenetres etaient condamnées à cause de travaux Et bien entendu le paiement ma été demandé à mon arrivée donc sans avoir vu la chambre Incroyable ,6
62,Superbe accueil et personnel aux petits soins  Hôtel charmant et petit déjeuner délicieux  ,10
63,Super confortable petite chambre Très bien situé entre Gare du Nord et Gare de l’Est près du sacré cœur et de Montmartre,10
64,Super  Propre et tres agréable ,10
65,Très bien situé Propre spacieux  Seul bémol le canapélit qui grinçait au moindre mouvement,8
66,Trop d’itinérants ,10
67,Bien Beau séjour Le matériel pour cuisiner pourrait être un peu mieux mais c’est acceptable,10
68,Appartement bien agencé services hoteliers de bon niveau petit déjeuner bien  A recommander pour une visite de Paris en famille accès facile visites aisées,8
69,Chambre pour  personnes ideale en duplex avec  wc Quartier calme est bien situé,10
70,Hotel très bien situé A deux pas du bd Haussman Le personnel est accueillant souriant La chambre était spacieuse ,8
71,Super cute and modern hotel but rooms are tiny  and we had the biggest one on the floor Bed was super comfy and great shower Booked a terrace room and didn’t use it because it’s winter Breakfast was subpar ,8
72,Excellent location very clean and friendly staff,10
73,Nice hotel clean cosy and with cool retro effects,10
74,Wow What an amazing stay we had for our very first time in Paris The location is right in the heart of charming Monmarte and we just did not want to leave Every morning the staff made us feel right at home with smiles and the best accommodations We even found ourselves leaving time to stop and chat with them each night They absolutely changed the way I view hospitality to be honest The rooms were cozy and clean can not WAIT to come back ,10
75,nice hotel in great location,8
76,The staff were lovely and could not have been more helpful Hotel is in a great area with lots of shops and restaurants,10
77,Great tucked away spot in Monmarte district We loved the staff They made us feel right at home Excellent place to stay with tasteful decor and that perfect antique feeling,10
78,My husband and I and our  boys  and  stayed for  nights  We had a family room which was  adjoining rooms including  bathrooms  The hotel was lovely  Front desk was helpful and friendly  Close to the metro and many shops and restaurants  We had the breakfast twice good variety easy relaxed  Would definitely recommend this hotel to families felt very safe and even our room facing the street was quiet  Felt very French and we had a wonderful stay,10
79,Accueil et partage très intéressant  Personnel très à lécoute de chacune,8
80,Hébergement bien situé la chambre est propre Le petit déjeuner moyen Pas mal  Par contre le service clients n’est pas top  J’ai réservé pour trois nuitées mais malheureusement il y avait la grève de transport général donc j’ai été à la réception deux jours plutôt pour leur dire que je vais partir plutôt que prévue et que j’annule la dernière nuit alors elle m’a répondu  qu’elle ne sait rien faire pour moi et qu’elle ne sait pas me rembourser  Personnellement je trouve ça pas normal  J’ai déjà eu auparavant la même Situation dans des autres établissements et ils m’ont  remboursé sans hésitation  ,6
81,Excellent hôtel  chambre avec literie très confortable salle de bain nickel tout était parfait Le petit déjeuner est copieux et varié rien à redire Jai déjà payé bien plus cher pour une prestation moins bonne A recommander sans hésitation ,10
82,Séjour excellent La chambre est très bien décorée et calme Le lit est un nuage  Seul petit « bémol »   la voix de l’ascenseur est flippante ,10
83,Un hôtel absolument magnifique La décoration est sublime autant dans les chambres que dans le lobby La réceptionniste est adorable et très accueillante Situation proche du métro proche d’un supermarché d’un théatre tout pour découvrir Paris ,10
84,Bon séjour équipe sympathique,10
85,Magnifique efficace et un service exemplaire  Le petit déjeuner de princesse  À ajouter à ses hôtel favoris    Merci ,10
86,Hôtel très joliment décoré dans un quartier vivant Service personnalisé ,10
87,Great location close to a number of metro stations in an area with good food Worth noting two outstanding bakeries nearby Mamiche and DPDI and fantastic coffee at Brouillon coffee Extremely friendly staff and very clean  Only downside was the surprisingly small size of our room and the soundproofing but I think we just had bad luck with room availability,10
88,This boutique hotel exceeded my expectations The front desk associate at checkin was great the size was big for Paris the room was clean and welldecorated and the location was central to shops and other sites The bathroom amenities had everything I needed with a much welcomed essential oil activating hand shower head,10
89,The desk clerk here creates an unsafe environment for women He used his access to personal contact information to proposition a female guest with multiple unwanted personal text messages “after hours” that violated the privacy and feeling of safety and security of a paying guest deserves,2
90,Me gusto la ubicación del hotel y la originalidad de la decoración  Sin embargo me sorprendió lo de la fianza  entiendo que a la Dirección del hotel le preocupara que nadie estropease las instalaciones pero de ahi a exigir una fianza de  euros me parece excesivo ,6
91,Hotel is beautiful well equipped and clean  minute walk from gare du nord or two stops on the tube   Bed was a bit hard but tends to be the case in France ,10
92,Great little place to stay and convenient for getting around,10
93,We are accustomed to small hotel rooms in Paris but this one sets a record  The bed is against one wall and you can’t get in or out without climbing over your partner,8
94,Lhôtel De Seze est excellent choix Il est parfaitement bien placé Laccueil est chaleureux et le personnel est attentionné Notre chambre était cozy et la literie très confortable Le petit déjeuner est qualitatif Très pro Bravo,10
95,A recommander excellent établissement super bien situé et le personnel d’une gentillesse  smiling face with smiling eyes ,10
96,Accueil formidable  tout était parfait ,10
97,Lhôtel est en tout parfait mais le personnel lui est exceptionnel laccueil était digne dun palace et les conseils de restaurant avisés  Chambre luxe de belle dimension salle de bain neuve et confortable léclairage est lui aussi bien étudié comme les matières bref cétait un court séjour mais mémorable,10
98,hôtel bien situé dans le centre de Paris dans petite rue assez passante et donc bruyante mais celà ne ma pas empêché de dormir car les chambres sont bien isolées de lextérieur Petite chambre  très bien organisée pour une nuit en voyage daffaires,10
99,accueil  calme,10
100,Emplacement idéal près de la Gare  Chambre très petite mais très propre,8
101,On y est resté une nuit mais on y reviendra à coup sûr L’hôtel est idéalement situé à quelques centaines de mètres de la Gare de Lyon Joliment rénové chambre pas très grande On a apprécié les wc séparés de la salle de bain et le petitdéjeuner déjeuner très bien ,10
102,Un conseil  FUYEZ   LE PIRE HOTEL OU J’AI SÉJOURNÉ  J’ai appelé plusieurs jours avant mon arrivé pour demander s’il etait possible d’avoir une chambre un peu avant h car nous serions là plus tot La personne m’a dit qu’ils verraient ce qu’ils pourraient faire Lors de l’arrivée pas d’early checkin et des dizaines de valises éparpillées dans le hall de l’hotel À h nous revenons et nous montons enfin dans notre chambre  L’HORREUR  Une chambre qui sent la transpiration et les égouts malgré les fenêtres grandes ouvertes Nous avons alors demandé a changer mais la réceptionniste nous a bien fait comprendre que nous la dérangions avec son air agacé  Cette deuxieme chambre sent moins mais la moquette est tachée comme si un animal avait fait ses besoins partout La douche fuit dans toute la salle de bain et la matelas doit avoir  ans vu sa deformation et son inconfort Nous avons eu mal aux cervicales le lendemain toute la journée Un peu avant de partir j’appelle la reception pour demander un check out une heure plus tard mais la encore on nous dit que l’hotel ne fait pas cela Alors qu’on me dise ce que propose cet hotel ce sera plus simple De plus lorsque je demande a voir la directrice pour lui faire part de notre mécontentement celle ci ne daigne meme pas sortir de son bureau La réceptionniste a juste pris des notes sur un postit pour le transmettre à la direction UNE HONTE  Une direction à l’image des employés et des services ZERO ,2
103,Très bel hôtel moderne bien situé personnel acceuillant Toutefois très peu insonorisé une fausse alarme incendie nous a réveillé durant notre séjour et le lavabo de la salle de bain bouché et na pas été réparé durant le séjour,8
104,Un hôtel qui a un seul avantage Son emplacement  Dommage alors de ne pas en profiter pour monter en qualité Les trois étoiles ne se justifient pas du tout le prix encore moins  Rien de catastrophique  Mais état général pas terrible Chambre minuscule et mal équipée avec aucun service daccueil dedans Pas même une petite bouteille deau  Petit déjeuner pas qualitatif Chek in et out inexistant  Personnel pas spécialement désagréable mais juste tres peu intéressé par la clientèle et laccueil  Très déçu par le rapport qualité prix ,4
105,Chambre tres calme Acceuil agreable  Aucune mauvaise surprise  Je recommande,10
106,Chambre propre et bien agencée Le personnel est très avenant et à l’écoute On est bien accueilli et on se sent en famille et à la fois respecte et écouté ,10
107,Tapisserie qui pend au troisième étage sur environ m de haut sur deux murs Au regard du prix payé on sattend quand même à beaucoup mieux,8
108, ,10
109,les gens sont gentils hôtel bien placé chambres très petites mais propres,8
110,Super hôtel central beau accueillant ,10
111,Tres belle emplacement pour cet hotel par contre tres bruyant la lumiere du jour des le lever du soleil donc tot énormément de bruit dans lhotel des le matin tot ,6
112,Super séjour personnel à l’écoute et très accueillant La chambre était propre avec une vue sur les toits de Paris et même une petite vue sur la Tour Eiffel Je recommande fortement,10
113,très sympa réception  calme confortable bonne literie,10
114,Hôtel très agréable et très bien situé en plein centre de Paris Chambre très confortable et buffet petit déjeuner complet avec des produits frais ,10
115,court séjour petite chambre,8
116,Notre reservation a ete annulee par simple mail alors que ns avions laisse les bagages et confirmé notre venue Chambre payee olusieurs mois à lavance Relogés dans un hotel superieur mais dans un autre quartier sans metro  ,4
117,La réception de lhôtel de mes habitudes à changer l’accueil était glacial cependant le reste était correct  ,4
118,Nous avons réservé une chambre familiale pour quatre personnes et avons payé en conséquences  Le canapélit servant à ajouter deux couchages est tout simplement HONTEUX  Il est franchement même impensable d’y faire dormir son pire ennemi   La soidisant directrice nous a gentiment expliqué que nous étions les premiers à faire ce genre de remarque je n’y crois pas  Elle nous a proposé de nous faire dormir dans deux chambres les dernières nuits voyageant avec nos enfants il en était parfaitement hors de question Aucune compensation aucun geste n’a été ne seraitce imaginé et donc accordé par l’équipe de cet établissement vraiment médiocre    Je passe sur le « barman » qui ne sait même pas couper un croquemonsieur en deux littéralement et ce après avoir découvert à l’occasion de cette commande gastronomique comment fonctionnait le four…  à dix euros pièce attendre une demiheure pour ça et dans ces conditions est stupéfiant   Bref passez votre chemin   Ps  Si aucune compensation n’était faite si aucune prise de contact n’avait lieu je pense que je porterai officiellement réclamation   Ah oui j’oubliais j’ai toutes les photos et preuves y compris les asticots dans les dates au petit déjeuner   A bon entendeur   Sachez que pour raisons professionnelles je suis client d’hôtels depuis une quinzaine d’années entre deux et quatre fois par semaine… Et je n’ai jamais vu ça Ce n’est pas l’avis d’un vacancier capricieux que vous avez la  ,4
119,chambre avec de nombreux défauts    télé ne fonctionnait pas qui a occasionné la venue de quelquun et piles à remettre sans cesse dans leur socle  bonde dévacuation défectueuse donc leau stagnait dans le lavabo  appel téléphonique avec le  pour réception  ne fonctionne pas  quant au tabouret noir  sans doute du siècle dernier  complètement déchiré  non digne dun  je suis restée  nuits  pourquoi enlever les serviettes qui auraient pu être utilisées le lendemain restées accrochées et non à terre pas écoloresponsable du tout  seul point POSITIF est la literie très confort  QUARTIER CALME ,4
120,Excellent hôtel à proximité des gares Nord et Est A conseiller vivement,10
121,Etablissement tout à fait correct mais in gros point noir   la salle de bainWC est séparée de la chambre PAR UN SIMPLE RIDEAU DE DOUCHE  Pas difficile dimaginer la gêne lorsque la chambre est occupée par deux personnes Ce soucis déconomie conduit à lirrespect du client Une honte,6
122,Chambre petite mais propre et agréable Vue quelconque toits parisiens,8
123,hotel magnifique ,10
124,Hotel bon rapport qualité prix  personnel sympa et petit déjeuner très correct varié   ombres au tableau   Très bruyant à partir de h du matin   bruit dans la cour nettoyage et pas de wifi dans lhôtel en panne  quand on y est pour déplacement professionnel ça ne facilite pas les choses pour le teletravail  Jy reviendrai sans doute mais uniquement après vérification de ces  points  ,6
125,Propreté et calme,10
126,bien  propre pas tres loin de la gare du nord ,8
127,La propreté  Le calme,8
128,Amabilité passable service inexistant propreté à revoir dans les chambres décoration vieillotte petit déjeuner standard Prestations et services de lhôtel pas du tout à la hauteur du prix de la chambre déboursée   €  ,2
129,Très bon séjour dans lensemble Cependant la porte de chambre nétant pas insonorisée on entend assez fort  les portes des autres chambres se fermer La salle de bain devrait être rénovée puisquelle date dun autre siècle Sinon on y dort bien et la situation géographique est idéale tout près de  gares importantes gare du Nord et gare de lEst,10
130,Chambre insonorisée   bien car environnement bruyant  Deco ok  Chambre petite  idem salle de bain  Pas de douche mais baignoire avec pommeau douche  ,8
131,hotel tres agréable avec uen véritable personnalité le personnel est tres attentif aux besoins des clients,10
132,Un séjour très agréable dans cet hôtel impeccable très belle déco les chambres sont spacieuses et en très bon état et le personnel est discret et très agréable  Le petit déjeuner est préparé à la minute et la salle est agréable  ,10
133,Une nuit seulement dans ce charmant hôtel bien situé  Proche de la Gare de Lyon et de tous les transports urbains Petite chambre mini salle deau mais le tout fort propre et bien agencée  Sil y avait une amélioration à apporter je dirai quun mini réfrigérateur et un mitigeur thermostatique  pour la douche serait un plus Et la tête de lit est au sud  Le personnel est charmant  Le petit déjeuner très bon et très copieux  Une mention spéciale pour la dame en charge des petits déjeuner   merci madame pour votre accueil et votre gentillesse  ,10
134,J’ai eu le droit a une chambre situé à m de la réception  chambre supérieur numéro   Impossible dormir jusqu’à h du matin et réveillé a h J’ai entendu parfaitement le passage du  métro chaque min…,6
135,Chambre exiguë et odeur d egout dans le coin toilettes ascenseur tres petit  Accueil correct etecoute des problemes,4
136,Accueil juste horrible  Aucune écoutes je vous le recommande pas  A éviter ,2
137,Bonjour  très bien situé un bon endroit stratégique pour visiter Paris,8
138,Hôtel bien situé Bon rapport qualité prix ,8
139,Très bien ,10
140,UN hôtel bien situé agréable aux tarifs encore raisonnables ,10
141,Laccueil a été parfait la chambre dune propreté irréprochable tout confort  les sanitaires extrêmement impeccable  Bref  à recommander pour tous types de séjour  ,10
142,Pour nous  hôtel très bien situé près de la gare de lest qui nous permet de déposer notre bagage en arrivant le matin et de le récupérer en fin de journée le jour de départ  Il faut noter la gentillesse et lamabilité de Razan  à  laccueil  Merci à lui Le buffet du petitdéjeuner est tout à fait correct Dans les chambres sur cour on nentend pas le bruit de la rue,10
143,Les chambres très confortables mais beaucoup de bruit le matin a cause du personnel qui claquent les portes ,8
144,Un désastre aucune prise en compte des besoins du client  Cela aussi bien qu’il s’agisse d’information de demande purement générale accès localisation  que concernant des prestations pressing et autre  Le personnel est souriant mais les réponses formulés sont très sarcastiques  Concernant l’état des deux chambres les draps sont froissés  la salle de bain n’est pas nettoyé tel que nécessaire et cela est navrant du fait de l’image « haut de gamme » prétendu par cet établissement ,2
145,Le personnel est très attentif La location de l’hôtel est parfaite ,10
146,La location et le personnel La grandeur des chambres,8
147,Literie sale fenêtre qui ne ferme pas poussière surdans larmoire sanitaires défectueux petitdéjeuner minime sans oeufs viande fruits ne vaut pas la peine servi dans la cave La seule chose positif est la situation centrale Lhôtel a vécu ces jours on a le sentiment quil veut faire le plus de profit courtterme sans investissement nécessaire Pour une réclamation pas de concierge disponible On ne revient pas,4
148,Hôtel vieillot qui mériterait une rénovation Chambre spacieuse mais confort moyen literie moyenne Déco sommaire tristounette Propreté limite Moquette sale ménage en surface mais les recoins laissent à désirer Franchement très moyen vu le prix,6
149,Bien localisé personnel attentionné Propre et efficace,10
150,Excellent rapport qualité et prix,10
151,Hôtel en plein cœur de Paris Tout se trouve à proximité Excellent accueil Café et tisane à volontéChambre spacieuse Et calme coin cuisine très bien équipée  Prix raisonnable  Parfait,10
152,Propre sécuritaire et personnel attentionné ,8
153,Hôtel absolument magnifique  Super original  Très bien situé Personnel très sympathique agréable et à lécoute Petit déjeuner continental extra,10
154,Hôtel très bien situé au centre de Paris personnel accueillant Chambre propre et calme Petit déjeuner copieux servi à la place viennoiserie pain confitures beurre fromage yagourt compote jus dorange thé ou café Petit frigo dans la chambre,10
155,Petite chambre calme avec décoration intense Propre Tout accessoire nécessaire à disposition Wifi disponible Lit confortable  Mais eau payante…pas de bouilloire électrique ou machine à café ,8
156,Charmant hotel personnel très chaleureux et serviable,10
157,Ce qui m’a déplu c’est l’entrée et le hall de l’hôtel ,10
158,Hotel très bien placé et agréable Bar guinguette très festif  concert et bonne ambiance ,10
159, jours à Noël Accueil rapide et irréprochable Ambiance jeune et décontractée mais personnel aux petits soins J‘ai demandé des cintres supplémentaires Dans l‘heure ils étaient dans la chambre J‘ai demandé un escabeau pour atteindre plus facilement le balcon le jour même ils m‘avaient trouvé un tabouret bien stable Le diner sur le pouce le jour de l‘arrivée grâce au bar guinguette et aux „marchés“  génial Télé géante dans la chambre et toilette japonaise un peu haute pour mon goût et je fais m…mon mari se sentant mal nous avons pû garder la chambre jusque   en payant un supplément raisonnable Tables désinfectées après chaque passage petit déjeuner délicieux et variéset tout est d‘origine française Même le whisky  Je ne reverrais que les oreillersmais bon on n‘a pas demandé à les changer Je parierais que c‘est possible Très bien placé Top niveau Merci Chouchou hôtel ,10
160,Super bien placé et personnel sympathique ,8
161,Accueil très sympa  Chambre spacieuse mais salle de bain très petite  douche  wc  vasque  Chambre difficile à chauffer trop froide ,10
162,Ici les chambres sont plutôt correctes bien que sans originalité Mais là où le bat blesse cest le service Lorsquau moment de la réservation demande une chambre avec un lit double preuve à lappui et que lon a deux lits jumeaux quon lindique à la réception on attend autre chose que de toute façon nous sommes complets Avec en cadeau un petit ricannement avec les collègues une fois le dos tourné Ajouter à ça la climatisation que lon ne peut pas régler depuis la chambre linsonnorisation avec le couloir ridicule et la vue sur les voies de train cest sans doute le pire Mercure dans lequel jai pu dormir,4
163,Accueil chaleureux équipe disponible et à l’écoute Une gestion au top  ,8
164,Hôtel bien situé agréable bonne literie,10
165,Jai juste fait une réservation mais vu avec les situations tendues au niveau des ambassades comme le cas au Sénégal prendre même un rendezvous pour un dépôt de Visa est impossible alors lhôtel ne ma pas notifiée par email pour voir si je confirme ma réservation ou pas et du coup le jour est arrivé lhôtel ma débité la totalité alors suis pas séjourner cest anormal et ça nuit à la réputation de lhôtel au moins prendre des frais de pénalité mais la total cest inadmissible ,2
166,Accueil froid chambre petite pas de lampe de chevet toilettes communes à mipalierpas de petit déjeuner manque de couverture et du bruit Une télé déréglée et personne pour remédier au problème Séjour décevant trop cher pour le service rendu,6
167,Chambre avec une baignoire et une fenêtre dans la salle de bains Légèrement bruyant car donnant sur la rue mais cela fait parti du charme de la vie parisienne ,8
168,Bien localisé à côté de Gare de l’Est  Propre dans l’ensemble  Seul bémol taille de la chambre petite avec la valise,8
169,Personnel très accueillant  ,8
170,Super équipe Chambre au top,8
171,Petit hôtel sympathique et bien situé mais notre chambre était au dernier étage contre lascenseur et donnant sur la rue donc un peu bruyant ,8
172,très bien mais le jeudi soir du bruit dans la rue du fait de la proximité dun club de rencontre,8
173,Excelente Gran ubicación en el corazón de París Cerca de restaurantes tiendas y principales atracciones de la ciudad La habitación muy cómoda y limpia El personal muy atento La decoración es preciosa y moderna Muy recomendado ,10
174,The best hotel at Paris to stay in  Very kind helpful pleasant stuff  We get superior room that was small but day after they change it to us and everything was perfectThe rooms very clean and very cozy styling  Perfect location  Saint germain quarter Near all the attractions almost everything by walk Near metro station  ,10
175,The spa in the basement was amazing  well worth the upgrade to superior room Location is unbeatable  ,10
176,The staff was very helpful and attentive The hotel and room was very clean and our room was made up every day ,10
177,Great location nice room friendly staff,10
178,The hotel was excellent— great style wonderful location and friendly staff Such an awesome location for people experiencing Paris  Dont miss the cookies they leave in the room  The only con would be that its on a busy street especially at night So if some street noise bothers you this might not be the best That said its not BAD just notable,10
179,Très bon accueil Personnel super Chambre petite mais parfaite pour une nuit Très propre Seul petit bémol le petit déjeuner dont le prix nous a semblé élevé€ pour ce quil y avait Parking juste en face de lhôtel,8
180,Qualitéprix imbattable Chambre à neuf tout confort Accueil tres aimable ,10
181,La chambre sentait l’humidité  Le mitigeur de la salle de bain ne fonctionnait pas Problème de chauffage,6
182,Accueil formidable  hôtel formidable et quartier formidable ,10
183,Hôtel très agréable Très bien placé au cœur du quartier latin Personnel très agréable Métro à quelques mètres  La chambre était très propre et bien équipé Petit bémol sur l’isolation et le chauffage Je conseille sans problème ,10
184,cétait un bref séjour tout sest bien passé le personnel a été très accueillant,10
185,Un peu froid avec de grandes températures,6
