,rating,description
3,8/10 Très bien,"Hôtel très bien situé.
Salle de bain en mezzanine avec un escalier très raide. Plafond de la salle de bain en pente avec risque de se cogner la tête.
Par ailleurs chambre agréable. J’avais choisi une chambre plus confortable et plus chère mais ceci a été un peu gâché par la salle de bain pas pratique.
Si je reviens dans cet hôtel, je serai attentive pour choisir une chambre avec une salle de bain plus pratique "
4,10/10 Exceptionnel,"Très bon service. Près de plusieurs attractions, cafés, magasins, etc."
5,10/10 Exceptionnel,"Hôtel agréable et bien situé je recommande 
Calme grand lit agréable. Hôtesse d’ac Souriante "
6,8/10 Très bien,
7,10/10 Exceptionnel,Excellente situation pour cet établissement aux chambres confortables et meublées avec goût et raffinement. Parking et transports à proximité.  Très pratique. Notre chambre donnait sur le Louvre  et les gargouilles de la Tour St Jacques. Excellent séjour. Établissement recommandé.
8,8/10 Très bien,
9,8/10 Très bien,"L'hôtel ne paye pas de mine de l'extérieur mais est très bien.
Climatisation pas très efficace par contre la
chambre très agréable (La 203 si ça vous intéresse). 
Propre et silencieuse. Salle de bain plutôt pas mal. 
Bon rapport qualité prix et situé à 2 minutes de marche du métro et en face du Louvre."
0,8/10 Très bien,Un hôtel très bien placé près de la gare du nord avec des prestations très honnêtes pour sa gamme de prix. Un personnel accueillant et prévenant. 
1,10/10 Exceptionnel,"Hôtel sans prétention mais où il ne manque rien, y compris l'accueil chaleureux et le côté très pratique à proximité de la gare du nord."
2,10/10 Exceptionnel,
3,10/10 Exceptionnel,
4,10/10 Exceptionnel,La proximité avec la gare
5,8/10 Très bien,
6,10/10 Exceptionnel,Merci
7,6/10 Bien,
8,6/10 Bien,Hotel vieux devrav être rénové 
9,4/10 Correct,"Très mauvaise insonorisation. Portes coupe feu bruyante, radiateurs mal ajustés, couvre plancher à la fin de leur vie utile. Réception à temps partiel."
0,4/10 Correct,
1,10/10 Exceptionnel,À mon avis qualité/prix dans le 5° arrondissement on fait pas mieux.
2,8/10 Très bien,
3,10/10 Exceptionnel,
4,8/10 Très bien,Tout est bien pour cet hôtel bien situé dans le quartier des écoles du 6ième de Paris. Le seul bémol est la qualité du matelas du lit qui est très déformé et devrait être changé.
5,2/10 Médiocre,"HÔTEL ET SON RESPONSABLE ABSOLUMENT LAMENTABLE :
1/.Réservation faite et réglée via le site Expédia 48h00 avant mon séjour. (Confirmation de la réservation et du règlement reçus par mail) 
2/ A l’arrivée aucune trace de ma réservation ni de mon règlement - 20 mn a l’accueil pour dénouer le problème. 
3/ arrivé à l’étage gaine technique en travaux - matériel (type pompe au milieu du couloir) encombre le passage mais ne semble pas en fonctionnement. Moquette extrêmement sale et vétuste. 
4/ Retour a l’hôtel vers 21h30 après diner pro. A partir de 22h15-22h30. Le matériel dans le couloir se met régulièrement en route et de façon aléatoire. 
5/ 22h30. Appel au réceptionniste à qui j’explique le problème et me répond s’en occuper. 
6/ 23h15 . idem 
7/ 00h00 agacé. Nouvel appel au réceptionniste qui me répond qu’il cherche d’ou ça vient. Très agacé je lui redonne la source du problème (déjà donné à 22h30) 
8/ A 1h00 du matin, le problème persistant, je me lève, me rhabille et descend à la réception. Le réceptionniste me dit que le bruit vient bien de la pompe qui est installé pour travaux sur la gaine technique et qu’il faudra voir avec le responsable qui sera là demain matin. 
9h00 J’AI DONC EU DROIT À UNE NUIT BLANCHE À PLUS DE 250 € !!!!!
10/ Vif entretien avec le responsable qui hausse le ton pour me faire taire en arguant que le réceptionniste m’a proposé dès mon premier appel une autre chambre. CE QUI EST FAUT. … Je lui dit que je relaterai tout cela sur les avis …  Il m’envo"
6,6/10 Bien,
7,8/10 Très bien,
8,10/10 Exceptionnel,
9,2/10 Médiocre,
0,8/10 Très bien,
1,10/10 Exceptionnel,Excellent service. Près de tout. 
2,10/10 Exceptionnel,
3,8/10 Très bien,Emplacement idéal près des Grands Boulevards et des grands magasins 
4,10/10 Exceptionnel,
5,8/10 Très bien,"The hotel is in a street adjacent to the Avenue de l'Opéra. Ideally located, the staff is quite welcoming and helpful, and the rooms are clean and comfortable. many restaurants and shops around, the Palais Garnie ballet theatre at 3, the Louvre at 10, and Madeleine at 12min walk.
The exterior of the hotel is being repainted so expect some noise (nothing extreme)."
6,10/10 Exceptionnel,
7,10/10 Exceptionnel,Hôtel calme en plein centre de Paris près des grands magasins.
8,10/10 Exceptionnel,"Hôtel superbement bien placé pour aller à l'opéra Garnier et au Louvre.
Un détail, le personnel vous accueille en ANGLAIS, or nous sommes en France et sommes Français...
Je conseil le Parking ONEPARK, rue des Italiens (20 € les  24 Heures) à environ 500 m."
9,10/10 Exceptionnel,"Excellent accueil. Chambre propre, silencieuse. Très bonne literie. "
0,10/10 Exceptionnel,
1,10/10 Exceptionnel,Parfait
2,8/10 Très bien,"Site extraordinaire 
Mais quelle déception de voir l’accès aux bassins refusés à midi pile le jour du check out
Pratique assez rare dans des hôtels de grand standing et dont la raison n’est certainement pas un problème de surpopulation (la piscine intérieure était vide toute la journée)"
3,6/10 Bien,
4,8/10 Très bien,
5,8/10 Très bien,ràs
6,10/10 Exceptionnel,
7,10/10 Exceptionnel,
8,8/10 Très bien,Très bel emplacement pour cet hôtel. Séjour entre amis très sympa avec le rooftop pour prendre l'apéritif le soir et la piscine le matin pour se détendre. Le service voiturier est très utile dans le quartier pour nous simplifier la recherche de place de parking. Seul petit bémol : la salle de petit déjeuner très petite par rapport au nombre de chambres dans l'hôtel et qui est vite saturée ! Nous sommes allés prendre le petit déjeuner Porte d'Auteuil le 2ème matin car il y avait une dizaine de personne qui attendait au comptoir pour avoir une table. 
9,10/10 Exceptionnel,Etablissement exceptionnel de très grand standing. Idéal pour se reposer et profiter des piscines et du spa. A recommander. Chambre de qualité et sans bruit. Design soigné 
0,10/10 Exceptionnel,
1,8/10 Très bien,
2,10/10 Exceptionnel,
3,10/10 Exceptionnel,
4,10/10 Exceptionnel,"Parfait, la chambre était magnifique l’hôtel est incroyable "
5,10/10 Exceptionnel,
6,10/10 Exceptionnel,
7,8/10 Très bien,"Hôtel bien placé pour un départ matinal en eurostar. La chambre sous le toit a la taille d'une chambre de bonne et est décorée dans un genre vintage un peu kitsch. On est assez loin de l'élégance de l""ancien Terminus nord ! Au demeurant, la salle de bains était bien."
8,8/10 Très bien,
9,10/10 Exceptionnel,
0,10/10 Exceptionnel,Hôtel confortable personnel souriant. Emplacement idéal compte tenu de mes imperatifs
1,8/10 Très bien,"Hotel très propre, très bien décoré. Accueil très sympathique.
La chambre est très cosy et très (voir trop) bien chauffée, la salle de bain est petite mais pratique.
On entend du bruit mais c'est Paris ... je dors habituellement avec des boules quies et j'ai très bien dormi !
Le petit déjeuner est très copieux et varié.
Je reviendrais sans soucis, l'hôtel est très bien situé !"
2,8/10 Très bien,
3,10/10 Exceptionnel,"Il n'y a que des qualités à cet établissement : accueil formidable, élégance et confort de la chambre, équipement malin (petit bureau ""pliant"") et propreté de la salle de bain.
Le quartier est sympa pour des restos, et la rue reste calme.
Je n'ai pas eu l'occasion de tester le pdj (13,5 €, ç arentrait pas dans mon budget)"
4,10/10 Exceptionnel,Personnel charmant et désireux de rendre votre séjour agréable
5,10/10 Exceptionnel,
6,8/10 Très bien,Le personnel de l’hôtel est très agréable et nous avons passé un très agréable séjour. 
7,8/10 Très bien,
8,8/10 Très bien,
9,10/10 Exceptionnel,"Accueil parfait le réceptionniste était super gentil !! Hôtel super bien situé et très agréable.
Je pense réserver ici la prochaine fois que je reviens sur Paris."
0,8/10 Très bien,"petite chambre mais bien conçue, confortable et en très bon état, bon petit-déjeuner"
1,8/10 Très bien,
2,8/10 Très bien,
3,10/10 Exceptionnel,"Tres bon rapport qualité/prix. Hôtel très bien situé, propre et confortable. Merci au personnel pour leur amabilité et leur disponibilité. "
4,8/10 Très bien,
5,2/10 Médiocre,
6,10/10 Exceptionnel,"Bon séjour d’une nuit. pas de bruit, chambre confortable et bien optimisée. Très bien "
7,8/10 Très bien,
8,10/10 Exceptionnel,super
9,10/10 Exceptionnel,
0,8/10 Très bien,
1,6/10 Bien,
2,10/10 Exceptionnel,
3,4/10 Correct,Attention on ressent les vibrations de chaque rame de métro.. compliqué de dormir dans ces conditions 
4,10/10 Exceptionnel,Mon voyage c’est super bien passé le personnel et très agréable souriant & arrangent je recommande vivement la chambre était parfaite propre & très agréable j’ai super bien dormi . 
5,8/10 Très bien,
6,6/10 Bien,
7,10/10 Exceptionnel,merci!
8,10/10 Exceptionnel,.
9,8/10 Très bien,
0,10/10 Exceptionnel,"Séjour très agréable dans cet hôtel implanté non loin des centres d’intérêt parisien. Très bien accueilli, simplement mais efficacement, nous avons pu découvrir une chambre spacieuse, lumineuse avec vue sur la cour intérieure de l’établissement et au loin, sur le toit magnifique de la mairie du Xeme arrondissement de Paris. 
La literie est d’excellente facture et permet un sommeil réparateur. Belle recherche esthétique dans la salle de bain, très pratique également."
1,10/10 Exceptionnel,
2,10/10 Exceptionnel,"Magnifique hôtel, très propre, très élégant. Un vrai coup d cœur 😍"
3,4/10 Correct,J'ai commandé 1 taxi qui n'est jamais arrivé et j'ai failli raté mon avion. Des efforts doivent être faits à ce niveau. 
4,10/10 Exceptionnel,"Tres joli hotel sur une rue tranquille, avec une cour restaurant pleine de verdure, magnifique. Terrasse sur le toit. Chambre impeccable, service aimable. Pour moi valait le prix. "
5,8/10 Très bien,"Établissement bien situé
Très bon rapport qualité prix "
6,10/10 Exceptionnel,"Rapport qualité prix excellent. Chambre bien aménagée et très joli. Resto, court intérieur et lobby très agréable. Bien situé pour déplacement a pied, bus et métro "
7,10/10 Exceptionnel,Très bel endroit. Ambiance calme près de tout.
8,10/10 Exceptionnel,"Séjour et chambre parfait. Rien à redire. 

Le petit + toujours pratique: la télévision équipée d'une Chromecast. "
9,10/10 Exceptionnel,....
0,6/10 Bien,"On m'a donné une chambre, sans signaler que toutes les fenetres etaient condamnées à cause de travaux...
Et bien entendu le paiement m'a été demandé à mon arrivée, donc sans avoir vu la chambre...
Incroyable !"
1,10/10 Exceptionnel,Superbe accueil et personnel aux petits soins ! Hôtel charmant et petit déjeuner délicieux ! 
2,10/10 Exceptionnel,"Super confortable petite chambre. Très bien situé entre Gare du Nord et Gare de l’Est, près du sacré cœur et de Montmartre."
3,8/10 Très bien,
4,8/10 Très bien,
5,10/10 Exceptionnel,"Super 
Propre et tres agréable "
6,8/10 Très bien,
7,10/10 Exceptionnel,
8,6/10 Bien,
9,10/10 Exceptionnel,
0,8/10 Très bien,
1,8/10 Très bien,"Très bien situé. Propre, spacieux. 
Seul bémol, le canapé-lit qui grinçait au moindre mouvement"
2,10/10 Exceptionnel,
3,10/10 Exceptionnel,
4,10/10 Exceptionnel,Trop d’itinérants 
5,10/10 Exceptionnel,"Bien. Beau séjour.
Le matériel pour cuisiner pourrait être un peu mieux, mais c’est acceptable."
6,8/10 Très bien,"Appartement bien agencé services hoteliers de bon niveau petit déjeuner bien 
A recommander pour une visite de Paris en famille
accès facile visites aisées"
7,10/10 Exceptionnel,Chambre pour 3 personnes ideale en duplex avec 2 wc. Quartier calme est bien situé.
8,8/10 Très bien,"Hotel très bien situé. A deux pas du bd Haussman. Le personnel est accueillant, souriant. La chambre était spacieuse. "
9,10/10 Exceptionnel,
0,10/10 Exceptionnel,
1,10/10 Exceptionnel,
2,8/10 Très bien,Super cute and modern hotel but rooms are tiny - and we had the biggest one on the floor. Bed was super comfy and great shower. Booked a terrace room and didn’t use it because it’s winter. Breakfast was subpar. 
3,10/10 Exceptionnel,"Excellent location, very clean and friendly staff!"
4,10/10 Exceptionnel,"Nice hotel, clean, cosy and with cool retro effects"
5,10/10 Exceptionnel,"Wow! What an amazing stay we had for our very first time in Paris! The location is right in the heart of charming Monmarte, and we just did not want to leave! Every morning, the staff made us feel right at home, with smiles and the best accommodations. We even found ourselves leaving time to stop and chat with them each night! They absolutely changed the way I view hospitality to be honest. The rooms were cozy and clean-10/10- can not WAIT to come back! "
6,8/10 Très bien,nice hotel in great location
7,10/10 Exceptionnel,The staff were lovely and could not have been more helpful. Hotel is in a great area with lots of shops and restaurants.
8,10/10 Exceptionnel,Great tucked away spot in Monmarte district. We loved the staff. They made us feel right at home. Excellent place to stay with tasteful decor and that perfect antique feeling.
9,10/10 Exceptionnel,"My husband and I and our 2 boys (15 and 11) stayed for 5 nights.  We had a family room, which was 2 adjoining rooms including 2 bathrooms.  The hotel was lovely.  Front desk was helpful and friendly.  Close to the metro and many shops and restaurants.  We had the breakfast twice- good variety, easy, relaxed.  Would definitely recommend this hotel to families, felt very safe and even our room facing the street was quiet.  Felt very French and we had a wonderful stay!"
0,8/10 Très bien,"Accueil et partage très intéressant.

Personnel très à l'écoute de chacun(e)."
1,10/10 Exceptionnel,
0,6/10 Bien,"Hébergement bien situé, la chambre est propre.
Le petit déjeuner moyen, Pas mal. 
Par contre le service clients n’est pas top. 
J’ai réservé pour trois nuitées, mais malheureusement il y avait la grève de transport général donc j’ai été à la réception deux jours plutôt pour leur dire que je vais partir plutôt que prévue et que j’annule la dernière nuit, alors elle m’a répondu  qu’elle ne sait rien faire pour moi et qu’elle ne sait pas me rembourser. 
Personnellement, je trouve ça pas normal. 
J’ai déjà eu auparavant la même Situation dans des autres établissements et ils m’ont  remboursé sans hésitation. 
"
1,10/10 Exceptionnel,
2,10/10 Exceptionnel,"Excellent hôtel ; chambre avec literie très confortable, salle de bain nickel, tout était parfait. Le petit déjeuner est copieux et varié, rien à redire. J'ai déjà payé bien plus cher pour une prestation moins bonne. A recommander sans hésitation !"
3,10/10 Exceptionnel,
4,10/10 Exceptionnel,
5,10/10 Exceptionnel,
6,10/10 Exceptionnel,
7,10/10 Exceptionnel,"Séjour excellent. La chambre est très bien décorée et calme. Le lit est un nuage !
Seul petit « bémol » : la voix de l’ascenseur est flippante "
8,10/10 Exceptionnel,"Un hôtel absolument magnifique. La décoration est sublime, autant dans les chambres que dans le lobby. La réceptionniste est adorable et très accueillante. Situation proche du métro, proche d’un supermarché, d’un théatre, tout pour découvrir Paris !"
9,10/10 Exceptionnel,"Bon séjour, équipe sympathique."
0,10/10 Exceptionnel,"Magnifique, efficace et un service exemplaire. 
Le petit déjeuner de princesse ! À ajouter à ses hôtel favoris ! 

Merci "
1,10/10 Exceptionnel,"Hôtel très joliment décoré, dans un quartier vivant. Service personnalisé. "
2,10/10 Exceptionnel,"Great location close to a number of metro stations in an area with good food. Worth noting two outstanding bakeries nearby (Mamiche and DPDI) and fantastic coffee at Brouillon coffee. Extremely friendly staff and very clean. 
Only downside was the surprisingly small size of our room and the soundproofing but I think we just had bad luck with room availability."
3,10/10 Exceptionnel,"This boutique hotel exceeded my expectations! The front desk associate at check-in was great, the size was big for Paris, the room was clean and well-decorated, and the location was central to shops and other sites. The bathroom amenities had everything I needed with a much welcomed essential oil activating hand shower head!"
4,2/10 Médiocre,The desk clerk here creates an unsafe environment for women. He used his access to personal contact information to proposition a female guest with multiple unwanted personal text messages “after hours” that violated the privacy and feeling of safety and security of a paying guest deserves.
5,10/10 Exceptionnel,
6,6/10 Bien,"Me gusto la ubicación del hotel y la originalidad de la decoración. 
Sin embargo me sorprendió lo de la fianza: entiendo que a la Dirección del hotel le preocupara que nadie estropease las instalaciones, pero de ahi a exigir una fianza de 150 euros, me parece excesivo.
"
7,10/10 Exceptionnel,"Hotel is beautiful, well equipped and clean. 15 minute walk from gare du nord or two stops on the tube. 

Bed was a bit hard but tends to be the case in France "
8,10/10 Exceptionnel,Great little place to stay and convenient for getting around
9,8/10 Très bien,"We are accustomed to small hotel rooms in Paris, but this one sets a record.  The bed is against one wall, and you can’t get in or out without climbing over your partner."
0,10/10 Exceptionnel,L'hôtel De Seze est excellent choix. Il est parfaitement bien placé. L'accueil est chaleureux et le personnel est attentionné. Notre chambre était cozy et la literie très confortable. Le petit déjeuner est qualitatif. Très pro. Bravo.
1,10/10 Exceptionnel,
2,8/10 Très bien,
3,10/10 Exceptionnel,A recommander excellent établissement super bien situé et le personnel d’une gentillesse 😊
4,10/10 Exceptionnel,
5,10/10 Exceptionnel,
6,10/10 Exceptionnel,Accueil formidable / tout était parfait 
7,10/10 Exceptionnel,"L'hôtel est en tout parfait mais le personnel lui est exceptionnel, l'accueil était digne d'un palace et les conseils de restaurant avisés ! Chambre luxe de belle dimension, salle de bain neuve et confortable, l'éclairage est lui aussi bien étudié comme les matières... bref c'était un court séjour mais mémorable."
8,10/10 Exceptionnel,"hôtel bien situé dans le centre de Paris dans petite rue assez passante et donc bruyante mais celà ne m'a pas empêché de dormir car les chambres sont bien isolées de l'extérieur. Petite chambre , très bien organisée pour une nuit en voyage d'affaires"
9,8/10 Très bien,
0,10/10 Exceptionnel,accueil - calme
1,8/10 Très bien,"Emplacement idéal près de la Gare - Chambre très petite, mais très propre"
2,8/10 Très bien,
3,8/10 Très bien,
4,10/10 Exceptionnel,"On y est resté une nuit mais on y reviendra à coup sûr. L’hôtel est idéalement situé à quelques centaines de mètres de la Gare de Lyon. Joliment rénové, chambre pas très grande. On a apprécié les wc séparés de la salle de bain et le petit-déjeuner déjeuner très bien. "
5,10/10 Exceptionnel,
6,10/10 Exceptionnel,
7,2/10 Médiocre,"Un conseil: FUYEZ ! 
LE PIRE HOTEL OU J’AI SÉJOURNÉ !
J’ai appelé plusieurs jours avant mon arrivé pour demander s’il etait possible d’avoir une chambre un peu avant 15h car nous serions là plus tot. La personne m’a dit qu’ils verraient ce qu’ils pourraient faire. Lors de l’arrivée, pas d’early check-in et des dizaines de valises éparpillées dans le hall de l’hotel. À 15h nous revenons et nous montons enfin dans notre chambre: L’HORREUR ! Une chambre qui sent la transpiration et les égouts, malgré les fenêtres grandes ouvertes. Nous avons alors demandé a changer, mais la réceptionniste nous a bien fait comprendre que nous la dérangions avec son air agacé.  Cette deuxieme chambre sent moins, mais la moquette est tachée, comme si un animal avait fait ses besoins partout. La douche fuit dans toute la salle de bain et la matelas doit avoir 20 ans vu sa deformation et son inconfort. Nous avons eu mal aux cervicales le lendemain toute la journée. Un peu avant de partir, j’appelle la reception pour demander un check out une heure plus tard, mais la encore on nous dit que l’hotel ne fait pas cela. Alors qu’on me dise ce que propose cet hotel ce sera plus simple. De plus, lorsque je demande a voir la directrice pour lui faire part de notre mécontentement, celle ci ne daigne meme pas sortir de son bureau. La réceptionniste a juste pris des notes sur un post-it pour le transmettre à la direction. UNE HONTE ! Une direction à l’image des employés et des services, ZERO !"
8,10/10 Exceptionnel,
9,8/10 Très bien,"Très bel hôtel moderne, bien situé, personnel acceuillant. Toutefois très peu insonorisé, une fausse alarme incendie nous a réveillé durant notre séjour et le lavabo de la salle de bain bouché et n'a pas été réparé durant le séjour."
0,10/10 Exceptionnel,
1,6/10 Bien,
2,4/10 Correct,"Un hôtel qui a un seul avantage. Son emplacement. 
Dommage alors de ne pas en profiter pour monter en qualité. Les trois étoiles ne se justifient pas du tout le prix encore moins.. 
Rien de catastrophique. 
Mais état général pas terrible.
Chambre minuscule et mal équipée avec aucun service d'accueil dedans. Pas même une petite bouteille d'eau. 
Petit déjeuner pas qualitatif.
Chek in et out inexistant. 
Personnel pas spécialement désagréable mais juste tres peu intéressé par la clientèle et l'accueil. 
Très déçu par le rapport qualité prix.
"
3,10/10 Exceptionnel,
4,10/10 Exceptionnel,"Chambre tres calme
Acceuil agreable 
Aucune mauvaise surprise. 
Je recommande"
5,10/10 Exceptionnel,
6,8/10 Très bien,
7,10/10 Exceptionnel,
8,10/10 Exceptionnel,Chambre propre et bien agencée. Le personnel est très avenant et à l’écoute. On est bien accueilli et on se sent en famille et à la fois respecte et écouté. 
9,8/10 Très bien,"Tapisserie qui pend au troisième étage sur environ 1,50m de haut sur deux murs
Au regard du prix payé, on s'attend quand même à beaucoup mieux"
0,10/10 Exceptionnel, 
1,10/10 Exceptionnel,
2,8/10 Très bien,"les gens sont gentils, hôtel bien placé, chambres très petites mais propres"
3,10/10 Exceptionnel,"Super hôtel, central, beau, accueillant. "
4,6/10 Bien,Tres belle emplacement pour cet hotel par contre tres bruyant la lumiere du jour des le lever du soleil donc tot énormément de bruit dans l'hotel des le matin tot 
5,10/10 Exceptionnel,
6,10/10 Exceptionnel,
7,10/10 Exceptionnel,"Super séjour, personnel à l’écoute et très accueillant.
La chambre était propre, avec une vue sur les toits de Paris et même une petite vue sur la Tour Eiffel.
Je recommande fortement."
8,10/10 Exceptionnel,"très sympa, réception 24/24, calme confortable, bonne literie"
9,10/10 Exceptionnel,"Hôtel très agréable et très bien situé en plein centre de Paris. Chambre très confortable, et buffet petit déjeuner complet avec des produits frais. "
0,8/10 Très bien,"court séjour, petite chambre"
1,8/10 Très bien,
2,4/10 Correct,Notre reservation a ete annulee par simple mail alors que ns avions laisse les bagages et confirmé notre venue. Chambre payee olusieurs mois à l'avance. Relogés dans un hotel superieur mais dans un autre quartier sans metro.  
3,4/10 Correct,
4,4/10 Correct,"La réception de l'hôtel de mes habitudes à changer, l’accueil était glacial, cependant le reste était correct.  "
5,10/10 Exceptionnel,
6,10/10 Exceptionnel,
7,10/10 Exceptionnel,
8,4/10 Correct,"Nous avons réservé une chambre familiale, pour quatre personnes, et avons payé en conséquences. 
Le canapé-lit servant à ajouter deux couchages est tout simplement HONTEUX. 
Il est franchement même impensable d’y faire dormir son pire ennemi. 

La soi-disant directrice nous a gentiment expliqué que nous étions les premiers à faire ce genre de remarque; je n’y crois pas. 
Elle nous a proposé de nous faire dormir dans deux chambres (les dernières nuits), voyageant avec nos enfants il en était parfaitement hors de question.
Aucune compensation, aucun geste n’a été ne serait-ce imaginé et donc accordé par l’équipe de cet établissement vraiment médiocre. 


Je passe sur le « barman » qui ne sait même pas couper un croque-monsieur en deux (littéralement) et ce après avoir découvert à l’occasion de cette commande gastronomique comment fonctionnait le four…  à dix euros pièce attendre une demi-heure pour ça et dans ces conditions est stupéfiant. 

Bref, passez votre chemin. 

Ps: Si aucune compensation n’était faite, si aucune prise de contact n’avait lieu, je pense que je porterai officiellement réclamation. 

Ah oui j’oubliais, j’ai toutes les photos et preuves, y compris les asticots dans les dates au petit déjeuner. 

A bon entendeur. 

Sachez que pour raisons professionnelles je suis client d’hôtels depuis une quinzaine d’années entre deux et quatre fois par semaine… Et je n’ai jamais vu ça!!
Ce n’est pas l’avis d’un vacancier capricieux que vous avez la. 
"
9,6/10 Bien,
0,8/10 Très bien,
1,4/10 Correct,"chambre avec de nombreux défauts : 
télé ne fonctionnait pas qui a occasionné la venue de quelqu'un et piles à remettre sans cesse dans leur socle !
bonde d'évacuation défectueuse donc l'eau stagnait dans le lavabo !
appel téléphonique avec le 9 pour réception .... ne fonctionne pas 
quant au tabouret noir , sans doute du siècle dernier , complètement déchiré !! non digne d'un 3*
je suis restée 2 nuits :pourquoi enlever les serviettes qui auraient pu être utilisées le lendemain? restées accrochées et non à terre ...pas écolo-responsable du tout 
seul point POSITIF est la literie très confort 
QUARTIER CALME "
2,10/10 Exceptionnel,"Excellent hôtel à proximité des gares Nord et Est
A conseiller vivement"
3,8/10 Très bien,
4,10/10 Exceptionnel,
5,10/10 Exceptionnel,
6,8/10 Très bien,
7,6/10 Bien,"Etablissement tout à fait correct, mais in gros point noir : la salle de bain/WC est séparée de la chambre PAR UN SIMPLE RIDEAU DE DOUCHE ! Pas difficile d'imaginer la gêne lorsque la chambre est occupée par deux personnes. Ce soucis d'économie conduit à l'irrespect du client. Une honte."
8,8/10 Très bien,
9,8/10 Très bien,Chambre petite mais propre et agréable. Vue quelconque (toits parisiens)
0,6/10 Bien,
1,10/10 Exceptionnel,
2,10/10 Exceptionnel,
3,10/10 Exceptionnel,hotel magnifique 
4,6/10 Bien,"Hotel bon rapport qualité /prix , personnel sympa et petit déjeuner très correct, varié 
2 ombres au tableau : Très bruyant à partir de 6h du matin  
(bruit dans la cour/ nettoyage?) et pas de wifi dans l'hôtel (en panne) ; quand on y est pour déplacement professionnel, ça ne facilite pas les choses pour le teletravail ... J'y reviendrai sans doute mais uniquement après vérification de ces 2 points ! "
5,10/10 Exceptionnel,
6,8/10 Très bien,
7,10/10 Exceptionnel,Propreté et calme
8,10/10 Exceptionnel,
9,8/10 Très bien,
0,8/10 Très bien,"bien , propre pas tres loin de la gare du nord ;"
1,10/10 Exceptionnel,
2,8/10 Très bien,"La propreté 
Le calme"
3,8/10 Très bien,
4,2/10 Médiocre,"Amabilité passable, service inexistant, propreté à revoir dans les chambres, décoration vieillotte, petit déjeuner standard. Prestations et services de l'hôtel pas du tout à la hauteur du prix de la chambre déboursée : 290€ !! "
5,8/10 Très bien,
6,10/10 Exceptionnel,"Très bon séjour dans l'ensemble. Cependant, la porte de chambre n'étant pas insonorisée, on entend, assez fort,  les portes des autres chambres se fermer. La salle de bain devrait être rénovée puisqu'elle date d'un autre siècle.
Sinon, on y dort bien et la situation géographique est idéale, tout près de 2 gares importantes, gare du Nord et gare de l'Est."
7,4/10 Correct,
8,8/10 Très bien,"Chambre insonorisée : bien car environnement bruyant 
Deco ok 
Chambre petite , idem salle de bain 
Pas de douche mais baignoire avec pommeau douche 
"
9,8/10 Très bien,
0,10/10 Exceptionnel,
1,10/10 Exceptionnel,
2,10/10 Exceptionnel,
3,8/10 Très bien,
4,10/10 Exceptionnel,
5,10/10 Exceptionnel,hotel tres agréable avec uen véritable personnalité. le personnel est tres attentif aux besoins des clients
6,10/10 Exceptionnel,"Un séjour très agréable dans cet hôtel impeccable, très belle déco, les chambres sont spacieuses et en très bon état et le personnel est discret et très agréable ! Le petit déjeuner est préparé à la minute et la salle est agréable ! "
7,8/10 Très bien,
